Category,Brand,Tool Name,Nominal Size,Bore ID,Service,Working Pressure,Top Connection,Lower Connection,Length (ft),Weight (kg),Picture,Verified by,Description
Stuffing Boxes,NOV,Stuffing Box,"3.5""",,H2S,10K,,"Otis 5-3/4""- 4 ACME",3,67,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Lubricators,NOV,Lubricator 8ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,107,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 8ft + NPT Port,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,137,Yes,,Fitted with a port to bleed off pressure
Lubricators,NOV,Lubricator 6ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",6,89,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 4ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4,70,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 3ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3.2,63,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 2ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",2,48,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 8ft,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,274,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 8ft + NPT Port,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,335,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 6ft,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",6,223,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 4ft,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4,173,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 3ft,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,148,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 8ft,"7""",6.625,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,453,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 8ft + NPT Port,"7""",6.625,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,453,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 4ft,"7""",6.625,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4,301,Yes,,To house the tool string in preparation for running into the well
Lubricators,NOV,Lubricator 3ft,"7""",6.625,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,263,Yes,,To house the tool string in preparation for running into the well
BOP,NOV,Dual Ram BOP,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3.2,300,Yes,,Seals around wire in case of blowout
BOP,NOV,Dual Ram BOP,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3.5,761,Yes,,Seals around wire in case of blowout
BOP,NOV,Dual Ram BOP,"7""",6.625,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4.2,1545,Yes,,Seals around wire in case of blowout
Special,NOV,Quick Test Sub,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",2.32,85,No,,To pressure test PCE
Special,NOV,Quick Test Sub,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",2.6,204,No,,To pressure test PCE
Special,NOV,Quick Test Sub,"7""",6.625,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",2.9,362,No,,To pressure test PCE
Special,NOV,Pump-in Tee,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",1.5,73,No,, To provide convenient entry path for large flow fluid into pressure control equipment
Special,NOV,Pump-in Tee,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",1.6,184,No,, To provide convenient entry path for large flow fluid into pressure control equipment
Special,NOV,Pump-in Tee,"7.5""",7,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",2,264,No,, To provide convenient entry path for large flow fluid into pressure control equipment
Special,NOV,TIW,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3.6,176,No,,A ball valve that can hold pressure from both directions
Special,NOV,TIW,"5.5""",5,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3.1,306,No,,A ball valve that can hold pressure from both directions
Special,NOV,Chemical Injection Sub,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",1.8,65,No,,To apply various fluids to the wireline during well service operations
Special,NOV,Hydraulic Ball Valve,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,200,No,,A ball valve that can hold pressure from both directions
Stuffing Boxes,RMZ,Stuffing Box,"16"" (5K)",,H2S,5K,,"Otis 5""- 4 ACME",3.03,32,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Stuffing Boxes,RMZ,Stuffing Box,"16"" (10K)",,H2S,10K,,"Otis 5""- 4 ACME",3.03,32,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Lubricators,RMZ,Lubricator 10ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",10,98,No,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 8ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",8,53,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 8ft + NPT Port,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",8,53,Yes,,Fitted with a port to bleed off pressure
Lubricators,RMZ,Lubricator 6ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",6,64,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 4ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",4,35,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 3ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",3,30,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 8ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",8,189,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 8ft + NPT Port,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",8,189,Yes,,Fitted with a port to bleed off pressure
Lubricators,RMZ,Lubricator 6ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",6,156,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 4ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",4,123,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 3ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",3,106,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 8ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",12,256,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 6ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",10,223,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 4ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",5,140,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 3ft,"4.5""",4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 8-3/8""- 4 ACME",2,89,Yes,,To house the tool string in preparation for running into the well
BOP,RMZ,Dual Ram BOP,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",3,190,Yes,,Seals around wire in case of blowout
Lubricators,RMZ,Lubricator 8ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",8,470,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 8ft + NPT Port,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",8,470,Yes,,Fitted with a port to bleed off pressure
Lubricators,RMZ,Lubricator 6ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",6,380,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 5ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",5,335,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 4ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",4,290,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 12ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",12,650,Yes,,To house the tool string in preparation for running into the well
Lubricators,RMZ,Lubricator 10ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",10,560,Yes,,To house the tool string in preparation for running into the well
Special,RMZ,Quick Test Sub,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",3.56,380,No,,To pressure test PCE
Special,RMZ,Hydraulic Ball Valve,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",3,76,No,,A ball valve that can hold pressure from both directions
Special,RMZ,Hydraulic Ball Valve,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",3.54,553,No,,A ball valve that can hold pressure from both directions
Stuffing Boxes,Parveen,Stuffing Box,"3.5""",,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,58,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Lubricators,Parveen,Lubricator 10ft,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",10,90,No,,To house the tool string in preparation for running into the well
Lubricators,Parveen,Lubricator 8ft,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,76,Yes,,To house the tool string in preparation for running into the well
Lubricators,Parveen,Lubricator 8ft + NPT Port,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,76,Yes,,Fitted with a port to bleed off pressure
Lubricators,Parveen,Lubricator 8ft,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,76,Yes,,To house the tool string in preparation for running into the well
Lubricators,Parveen,Lubricator 6ft,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",6,53,Yes,,To house the tool string in preparation for running into the well
