Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Basic Tools,Rope Socket,"1-7/8""",1.875,N/A,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",0.7,3.3,Yes
Basic Tools,Rope Socket,"1-1/2""",1.5,N/A,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",0.7,3.3,Yes
Basic Tools,Rope Socket,"1-1/4""",1.25,N/A,"15/16"" SR, 1-1/4"" QLS",0.7,3.3,Yes
Basic Tools,Knuckle Joint,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",1.2,9,Yes
Basic Tools,Knuckle Joint,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",1.2,9,Yes
Basic Tools,Knuckle Joint,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",1.2,9,Yes
Basic Tools,Swivel Joint,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",1.3,8.4,Yes
Basic Tools,Swivel Joint,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",1.3,8.4,Yes
Basic Tools,Swivel Joint,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",1.3,8.4,Yes
Basic Tools,2' Normal Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",2,18.8,Yes
Basic Tools,2' Normal Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",2,12,Yes
Basic Tools,2' Normal Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",2,8.3,Yes
Basic Tools,2' Normal Stem,"2-1/8""",2.125,"1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ","1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ",2,24,Yes
Basic Tools,2' Normal Stem,"2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",2,34,Yes
Basic Tools,3' Normal Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",3,28.1,Yes
Basic Tools,3' Normal Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",3,18,Yes
Basic Tools,3' Normal Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3,12.5,Yes
Basic Tools,3' Normal Stem,"2-1/8""",2.125,"1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ","1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ",3,36,Yes
Basic Tools,3' Normal Stem,"2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",3,50,Yes
Basic Tools,5' Normal Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",5,46.9,Yes
Basic Tools,5' Normal Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",5,30,Yes
Basic Tools,5' Normal Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",5,20.8,Yes
Basic Tools,5' Normal Stem,"2-1/8""",2.125,"1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ","1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ",5,69,Yes
Basic Tools,5' Normal Stem,"2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",5,83,Yes
Basic Tools,"20"" Mechanical Link Jar (Spang)","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",3,28.1,Yes
Basic Tools,"20"" Mechanical Link Jar (Spang)","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",3,18,Yes
Basic Tools,"20"" Mechanical Link Jar (Spang)","1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3,12.5,Yes
Basic Tools,"30"" Mechanical Link Jar (Spang)","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",4,37.5,Yes
Basic Tools,"30"" Mechanical Link Jar (Spang)","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",4,24,Yes
Basic Tools,"30"" Mechanical Link Jar (Spang)","1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",4,16.7,Yes
Basic Tools,"20"" Mechanical Tubular Jar","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",4.7,23.1,Yes
Basic Tools,"20"" Mechanical Tubular Jar","1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",4.8,23.1,Yes
Basic Tools,"20"" Mechanical Tubular Jar","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",4.9,23.1,Yes
Basic Tools,"20"" Mechanical Tubular Jar","2-1/8""",2.125,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",5,23.1,Yes
Basic Tools,"20"" Mechanical Tubular Jar","2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",5.2,23.1,Yes
Basic Tools,"30"" Mechanical Tubular Jar","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6.4,37.5,Yes
Basic Tools,"30"" Mechanical Tubular Jar","1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6.5,37.5,Yes
Basic Tools,"30"" Mechanical Tubular Jar","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",6.6,37.5,Yes
Basic Tools,"30"" Mechanical Tubular Jar","2-1/8""",2.125,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",6.7,37.5,Yes
Basic Tools,"30"" Mechanical Tubular Jar","2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",6.8,37.5,Yes
Basic Tools,Hydraulic Jar,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",3.6,28.1,Yes
Basic Tools,Hydraulic Jar,"1-3/4""",1.75,"1-7/8"" HDQRJ","1-7/8"" HDQRJ",3.6,8.5,Yes
Basic Tools,Hydraulic Jar,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",3.6,18,Yes
Basic Tools,Hydraulic Jar,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3.6,12.5,Yes
Basic Tools,Spring Jar,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",5.6,19.8,Yes
Basic Tools,Spring Jar,"1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6,26.4,Yes
Basic Tools,Spring Jar,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",6,30.8,Yes
Basic Tools,Spring Jar,"2-1/8""",2.125,"1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ","1-1/16"" SR, 2-1/8"" QLS, 2-1/8"" HDQRJ",5.8,36.3,Yes
Basic Tools,Spring Jar,"2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",7.3,57.2,Yes
