Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture,Verified by,Description
Basic Tools,Rope Socket,"1-7/8""",1.875,,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",0.7,3.3,Yes,,Connects slickline to the toolstring by gripping the wireline; transmits tensile load and enables quick reheading at surface.
Basic Tools,Rope Socket,"1-1/2""",1.5,,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",0.7,3.3,Yes,,Connects slickline to the toolstring by gripping the wireline; transmits tensile load and enables quick reheading at surface.
Basic Tools,Rope Socket,"1-1/4""",1.25,,"15/16"" SR, 1-1/4"" QLS",0.7,3.3,Yes,,Connects slickline to the toolstring by gripping the wireline; transmits tensile load and enables quick reheading at surface.
Basic Tools,Rope Socket,"2-1/8""",2.125,,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",0.7,5,Yes,,Connects slickline to the toolstring by gripping the wireline; transmits tensile load and enables quick reheading at surface.
Basic Tools,Rope Socket,"2-1/2""",2.5,,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",0.7,5,Yes,,Connects slickline to the toolstring by gripping the wireline; transmits tensile load and enables quick reheading at surface.
Basic Tools,Knuckle Joint,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",1.2,9,Yes,,Articulated joint that provides flexibility to pass deviations and reduce side loading on tools below.
Basic Tools,Knuckle Joint,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",1.2,9,Yes,,Articulated joint that provides flexibility to pass deviations and reduce side loading on tools below.
Basic Tools,Knuckle Joint,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",1.2,9,Yes,,Articulated joint that provides flexibility to pass deviations and reduce side loading on tools below.
Basic Tools,Knuckle Joint,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",1.2,12,Yes,,Articulated joint that provides flexibility to pass deviations and reduce side loading on tools below.
Basic Tools,Knuckle Joint,"2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",1.2,12,Yes,,Articulated joint that provides flexibility to pass deviations and reduce side loading on tools below.
Basic Tools,Swivel Joint,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",1.3,8.4,Yes,,Allows the toolstring to rotate and relieve torque; helps prevent cable twist during jarring and fishing.
Basic Tools,Swivel Joint,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",1.3,8.4,Yes,,Allows the toolstring to rotate and relieve torque; helps prevent cable twist during jarring and fishing.
Basic Tools,Swivel Joint,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",1.3,8.4,Yes,,Allows the toolstring to rotate and relieve torque; helps prevent cable twist during jarring and fishing.
Basic Tools,Swivel Joint,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",1.3,10,Yes,,Allows the toolstring to rotate and relieve torque; helps prevent cable twist during jarring and fishing.
Basic Tools,Swivel Joint,"2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",1.3,10,Yes,,Allows the toolstring to rotate and relieve torque; helps prevent cable twist during jarring and fishing.
Basic Tools,2' Normal Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",2,18.8,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,2' Normal Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",2,12,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,2' Normal Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",2,8.3,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,2' Normal Stem,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",2,24,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,2' Normal Stem,"2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",2,34,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,3' Normal Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",3,28.1,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,3' Normal Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",3,18,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,3' Normal Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3,12.5,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
